"municipality",2008,2009,2010,2011,2012,2013,2014,2015,2016
"København",6134,6518,6568,6538,6625,6244,6413,6091,5621
"Frederiksberg",649,669,708,712,667,628,665,603,597
"Dragør",57,61,71,60,58,51,62,48,51
"Tårnby",328,328,341,331,358,331,360,333,298
"Albertslund",306,307,378,376,339,328,315,314,271
"Ballerup",364,462,445,419,422,448,454,409,317
"Brøndby",334,392,455,502,476,411,494,483,380
"Gentofte",313,307,355,330,350,323,323,289,259
"Gladsaxe",491,521,578,536,532,541,535,546,452
"Glostrup",210,210,218,231,244,232,274,230,217
"Herlev",203,231,250,269,286,241,237,221,211
"Hvidovre",446,448,579,572,541,507,564,484,406
"Høje-Taastrup",447,476,529,542,481,479,502,461,426
"Ishøj",244,265,295,284,261,267,236,237,251
"Lyngby-Taarbæk",262,258,289,301,274,275,267,249,196
"Rødovre",320,346,358,389,411,426,358,331,297
"Vallensbæk",67,94,74,104,89,105,93,111,86
"Allerød",78,59,83,96,94,79,92,81,68
"Egedal",165,196,156,157,176,163,132,137,150
"Fredensborg",221,253,258,263,227,217,274,204,200
"Frederikssund",318,347,293,252,277,305,293,266,247
"Furesø",202,190,207,229,169,181,194,198,171
"Gribskov",208,228,243,226,220,201,231,224,186
"Halsnæs",256,279,287,271,257,244,230,234,202
"Helsingør",519,538,500,562,468,458,639,434,425
"Hillerød",215,253,238,250,295,278,284,248,287
"Hørsholm",70,104,71,99,74,80,67,67,74
"Rudersdal",182,220,222,236,217,170,187,198,179
"Bornholm",327,330,306,260,270,259,242,254,262
"Christiansø",0,0,0,0,0,0,0,0,0
"Greve",304,374,381,366,381,330,389,335,300
"Køge",309,378,431,347,467,453,443,379,317
"Lejre",119,129,148,131,168,144,155,112,122
"Roskilde",499,596,586,583,660,566,919,557,485
"Solrød",83,98,104,107,120,111,118,79,111
"Faxe",180,215,190,253,235,283,198,204,243
"Guldborgsund",440,436,500,535,524,493,488,477,516
"Holbæk",448,432,473,527,562,487,492,398,388
"Kalundborg",347,350,343,337,357,363,323,279,312
"Lolland",388,377,397,388,418,393,379,353,385
"Næstved",448,463,462,573,568,600,565,527,555
"Odsherred",224,188,230,277,264,243,235,193,182
"Ringsted",181,199,201,246,265,198,192,215,206
"Slagelse",501,555,572,654,652,663,577,628,588
"Sorø",136,142,165,191,176,177,182,183,167
"Stevns",78,77,102,108,111,116,122,117,106
"Vordingborg",345,325,344,363,330,343,352,313,294
"Assens",215,217,214,237,194,203,165,171,178
"Faaborg-Midtfyn",238,273,276,298,291,246,254,229,234
"Kerteminde",88,132,112,112,138,140,143,100,110
"Langeland",55,59,85,87,63,52,58,50,62
"Middelfart",180,190,181,215,198,179,190,143,144
"Nordfyns",154,160,161,187,169,128,174,154,145
"Nyborg",176,160,201,212,192,218,190,176,179
"Odense",1640,1753,1815,1903,1786,1790,1698,1500,1484
"Svendborg",397,392,414,430,386,399,409,377,334
"Ærø",27,24,22,24,20,25,20,22,18
"Billund",108,101,129,128,128,124,115,101,103
"Esbjerg",816,998,931,1047,1001,929,846,806,742
"Fanø",8,7,11,16,15,13,15,17,15
"Fredericia",367,416,457,468,477,447,378,350,352
"Haderslev",315,335,356,379,392,359,375,350,378
"Kolding",536,635,646,598,621,627,603,496,473
"Sønderborg",372,424,449,532,540,439,405,433,408
"Tønder",223,238,216,236,238,227,209,190,175
"Varde",200,240,262,288,262,255,230,222,222
"Vejen",223,227,228,240,249,238,223,221,197
"Vejle",570,631,649,756,784,716,661,672,625
"Aabenraa",367,392,411,394,430,370,381,373,361
"Favrskov",170,204,207,227,230,222,204,198,162
"Hedensted",191,198,189,201,171,181,176,147,166
"Horsens",579,526,569,642,691,575,527,536,494
"Norddjurs",213,284,283,334,284,272,278,262,233
"Odder",45,79,90,85,87,87,61,89,67
"Randers",639,811,871,939,911,812,734,671,621
"Samsø",12,13,11,18,16,15,23,8,8
"Silkeborg",437,481,528,498,552,590,543,485,388
"Skanderborg",186,220,184,207,241,214,171,152,171
"Syddjurs",132,178,206,214,225,228,208,174,148
"Aarhus",2077,2331,2525,2609,2845,2707,2493,2396,2094
"Herning",407,461,510,498,518,525,475,610,525
"Holstebro",361,413,387,392,462,397,349,303,292
"Ikast-Brande",173,174,220,238,210,202,197,186,146
"Lemvig",97,105,107,126,106,103,86,77,65
"Ringkøbing-Skjern",198,277,289,233,282,274,252,244,198
"Skive",300,291,312,302,342,320,268,259,207
"Struer",147,157,133,155,129,117,88,120,102
"Viborg",565,503,638,643,671,592,595,542,450
"Brønderslev",188,207,199,215,218,194,189,187,167
"Frederikshavn",265,340,398,400,419,329,353,294,288
"Hjørring",331,419,450,453,453,429,433,396,378
"Jammerbugt",192,198,189,209,245,203,180,192,169
"Læsø",1,4,6,6,11,4,8,5,4
"Mariagerfjord",238,253,266,296,272,206,251,240,216
"Morsø",119,143,141,128,136,111,98,93,98
"Rebild",109,117,104,139,124,121,116,100,104
"Thisted",229,284,291,269,266,236,234,204,200
"Vesthimmerlands",240,256,269,239,274,234,261,219,222
"Aalborg",1455,1494,1455,1694,1586,1729,1838,1670,1518
