"type","part","municipality","year","value"
"Procent","Uuddannet","Aabenraa","2008",27.86
"Procent","Uuddannet","Aabenraa","2009",27.54
"Procent","Uuddannet","Aabenraa","2010",26.93
"Procent","Uuddannet","Aabenraa","2011",26.48
"Procent","Uuddannet","Aabenraa","2012",26.19
"Procent","Uuddannet","Aabenraa","2013",25.82
"Procent","Uuddannet","Aabenraa","2014",25.24
"Procent","Uuddannet","Aabenraa","2015",24.55
"Procent","Uuddannet","Aabenraa","2016",23.98
"Procent","Uuddannet","Aabenraa","2017",23.20
"Procent","Uuddannet","Aalborg","2008",23.83
"Procent","Uuddannet","Aalborg","2009",23.13
"Procent","Uuddannet","Aalborg","2010",22.46
"Procent","Uuddannet","Aalborg","2011",21.87
"Procent","Uuddannet","Aalborg","2012",21.38
"Procent","Uuddannet","Aalborg","2013",20.84
"Procent","Uuddannet","Aalborg","2014",20.27
"Procent","Uuddannet","Aalborg","2015",19.47
"Procent","Uuddannet","Aalborg","2016",18.66
"Procent","Uuddannet","Aalborg","2017",17.94
"Procent","Uuddannet","Aarhus","2008",18.71
"Procent","Uuddannet","Aarhus","2009",18.59
"Procent","Uuddannet","Aarhus","2010",18.15
"Procent","Uuddannet","Aarhus","2011",17.81
"Procent","Uuddannet","Aarhus","2012",17.53
"Procent","Uuddannet","Aarhus","2013",17.27
"Procent","Uuddannet","Aarhus","2014",16.94
"Procent","Uuddannet","Aarhus","2015",16.26
"Procent","Uuddannet","Aarhus","2016",15.59
"Procent","Uuddannet","Aarhus","2017",15.16
"Procent","Uuddannet","Albertslund","2008",29.47
"Procent","Uuddannet","Albertslund","2009",29.24
"Procent","Uuddannet","Albertslund","2010",29.04
"Procent","Uuddannet","Albertslund","2011",29.27
"Procent","Uuddannet","Albertslund","2012",29.26
"Procent","Uuddannet","Albertslund","2013",29.28
"Procent","Uuddannet","Albertslund","2014",29.29
"Procent","Uuddannet","Albertslund","2015",28.64
"Procent","Uuddannet","Albertslund","2016",27.87
"Procent","Uuddannet","Albertslund","2017",27.63
"Procent","Uuddannet","Allerød","2008",12.29
"Procent","Uuddannet","Allerød","2009",11.96
"Procent","Uuddannet","Allerød","2010",11.59
"Procent","Uuddannet","Allerød","2011",11.38
"Procent","Uuddannet","Allerød","2012",11.01
