"age","municipality",2008,2009,2010,2011,2012,2013,2014,2015,2016
"16","København",3502,3510,3779,3897,3849,3934,3790,3834,4009
"16","Frederiksberg",607,591,594,671,656,687,673,688,764
"16","Dragør",151,176,167,173,166,176,180,172,148
"16","Tårnby",467,451,512,463,492,413,469,458,459
"16","Albertslund",385,361,385,381,377,334,347,367,325
"16","Ballerup",586,639,582,596,566,606,587,493,579
"16","Brøndby",451,386,462,409,395,397,383,403,373
"16","Gentofte",829,855,899,971,919,928,943,1038,969
"16","Gladsaxe",731,799,863,836,772,774,728,738,774
"16","Glostrup",235,217,211,238,216,225,194,235,200
"16","Herlev",304,331,322,303,305,331,341,302,295
"16","Hvidovre",591,570,598,629,577,592,567,608,560
"16","Høje-Taastrup",526,607,570,593,602,570,557,568,588
"16","Ishøj",296,253,275,287,258,296,276,237,254
"16","Lyngby-Taarbæk",566,542,615,547,613,588,597,588,617
"16","Rødovre",413,449,425,403,386,386,391,394,414
"16","Vallensbæk",168,180,163,173,169,180,160,180,178
"16","Allerød",324,336,372,372,364,374,364,367,348
"16","Egedal",567,553,593,604,621,604,580,641,611
"16","Fredensborg",474,528,585,557,511,544,559,530,520
"16","Frederikssund",552,541,578,613,543,580,555,533,591
"16","Furesø",540,540,553,632,535,530,539,570,559
"16","Gribskov",532,546,553,534,557,508,505,471,523
"16","Halsnæs",323,342,372,362,348,302,330,314,339
"16","Helsingør",694,715,843,809,794,787,746,754,795
"16","Hillerød",563,662,649,696,661,698,677,594,640
"16","Hørsholm",298,315,294,304,325,352,317,349,337
"16","Rudersdal",660,710,749,761,752,787,752,725,832
"16","Bornholm",533,547,530,587,522,497,475,448,443
"16","Christiansø",2,0,2,3,1,1,3,1,1
"16","Greve",638,489,704,729,670,653,604,656,639
"16","Køge",696,727,806,830,780,787,739,742,762
"16","Lejre",332,338,368,382,382,341,383,365,375
"16","Roskilde",966,996,1102,1019,1054,1038,1056,1037,1052
"16","Solrød",261,291,301,323,312,312,305,303,286
"16","Faxe",457,453,458,511,453,492,455,465,450
"16","Guldborgsund",722,732,707,748,709,680,597,653,659
"16","Holbæk",932,864,956,925,878,899,827,880,876
"16","Kalundborg",619,614,702,596,617,602,562,629,587
"16","Lolland",546,529,524,578,487,461,463,474,432
"16","Næstved",978,974,1068,1058,950,968,952,1008,991
"16","Odsherred",391,374,371,375,354,365,323,350,336
"16","Ringsted",371,416,414,432,426,410,384,434,410
"16","Slagelse",927,997,925,1004,958,957,929,865,929
"16","Sorø",381,366,434,395,398,391,365,391,348
"16","Stevns",270,230,295,278,247,256,259,227,245
"16","Vordingborg",538,494,551,585,536,540,515,544,528
"16","Assens",549,580,615,575,562,564,527,559,558
"16","Faaborg-Midtfyn",712,732,742,730,720,641,617,649,627
"16","Kerteminde",317,319,327,326,325,349,287,289,297
"16","Langeland",151,131,136,150,160,114,119,123,138
"16","Middelfart",511,481,520,511,483,552,488,494,491
"16","Nordfyns",362,347,381,427,361,360,360,377,353
"16","Nyborg",416,354,397,450,405,452,389,371,426
"16","Odense",2046,1932,2117,2175,2037,2088,1939,2011,2059
"16","Svendborg",799,711,724,767,670,689,633,700,699
"16","Ærø",60,69,92,74,88,67,55,85,64
"16","Billund",372,333,377,397,378,364,346,366,378
"16","Esbjerg",1521,1462,1564,1479,1427,1415,1350,1376,1261
"16","Fanø",39,39,45,35,33,34,25,32,35
"16","Fredericia",610,568,613,636,639,647,608,581,562
"16","Haderslev",805,762,801,836,725,737,740,687,679
"16","Kolding",1081,1116,1098,1111,1140,1148,1084,1064,1116
"16","Sønderborg",999,987,1026,990,914,1037,963,916,967
"16","Tønder",546,530,621,540,541,562,465,530,487
"16","Varde",724,682,738,756,668,757,700,668,719
"16","Vejen",570,607,575,618,613,570,563,569,557
"16","Vejle",1307,1295,1404,1451,1464,1383,1306,1462,1499
"16","Aabenraa",839,823,862,805,757,779,756,750,795
"16","Favrskov",616,608,723,639,658,697,648,671,673
"16","Hedensted",656,607,638,692,643,636,572,636,643
"16","Horsens",931,976,973,979,1022,951,941,949,985
"16","Norddjurs",527,477,508,529,523,472,465,437,449
"16","Odder",275,294,302,306,281,298,280,291,297
"16","Randers",1058,1099,1105,1223,1203,1191,1156,1155,1072
"16","Samsø",59,40,56,41,36,52,52,31,37
"16","Silkeborg",1087,1153,1209,1250,1166,1199,1179,1182,1214
"16","Skanderborg",745,773,810,786,861,805,804,872,885
"16","Syddjurs",536,522,545,611,567,558,567,535,533
"16","Aarhus",3172,3217,3274,3367,3154,3125,3256,3091,3051
"16","Herning",1077,1067,1143,1144,1147,1160,1126,1098,1124
"16","Holstebro",780,737,790,740,742,747,709,710,723
"16","Ikast-Brande",496,488,567,591,568,558,552,518,547
"16","Lemvig",333,283,359,293,316,302,298,273,256
"16","Ringkøbing-Skjern",831,844,831,823,771,833,776,803,747
"16","Skive",693,652,661,669,638,582,591,619,596
"16","Struer",285,288,292,321,271,281,323,309,249
"16","Viborg",1209,1208,1228,1320,1292,1225,1174,1165,1217
"16","Brønderslev",458,496,446,444,473,457,418,509,455
"16","Frederikshavn",812,775,789,782,783,761,696,686,658
"16","Hjørring",964,925,983,918,880,825,826,837,744
"16","Jammerbugt",546,493,578,518,505,534,478,487,483
"16","Læsø",17,20,25,29,22,20,19,21,10
"16","Mariagerfjord",582,617,572,596,599,571,565,533,521
"16","Morsø",289,289,308,290,297,294,267,274,276
"16","Rebild",415,407,424,421,406,388,400,350,400
"16","Thisted",642,665,635,636,619,564,586,534,519
"16","Vesthimmerlands",584,548,530,522,572,530,482,511,477
"16","Aalborg",2082,2138,2206,2195,2163,2110,2103,2023,2018
"17","København",2978,3268,3336,3597,3664,3727,3712,3750,3813
"17","Frederiksberg",534,562,588,582,678,659,682,659,702
"17","Dragør",174,150,171,170,171,171,166,180,165
"17","Tårnby",371,400,419,464,435,473,375,440,427
"17","Albertslund",330,347,336,362,356,366,343,314,334
"17","Ballerup",489,550,577,571,551,551,573,542,531
"17","Brøndby",373,409,366,448,392,364,351,351,389
"17","Gentofte",817,803,855,911,992,918,910,954,1026
"17","Gladsaxe",659,678,742,836,814,739,785,692,714
"17","Glostrup",180,213,207,205,231,210,216,180,217
"17","Herlev",317,275,313,316,293,285,287,318,278
"17","Hvidovre",504,543,522,555,599,547,552,533,575
"17","Høje-Taastrup",515,508,570,541,574,580,545,511,524
"17","Ishøj",261,264,245,254,271,244,260,255,218
"17","Lyngby-Taarbæk",543,528,538,626,543,614,592,603,581
"17","Rødovre",320,383,433,400,373,359,343,361,390
"17","Vallensbæk",128,160,183,150,173,161,174,160,168
"17","Allerød",290,309,347,370,368,369,378,352,360
"17","Egedal",495,548,532,569,576,596,625,567,617
"17","Fredensborg",469,445,494,567,530,481,518,534,514
"17","Frederikssund",455,466,509,549,571,496,530,534,493
"17","Furesø",487,482,508,528,611,535,515,541,561
"17","Gribskov",432,462,509,490,491,499,491,487,445
"17","Halsnæs",266,303,301,344,341,303,303,319,300
"17","Helsingør",666,648,688,781,789,737,752,709,730
"17","Hillerød",539,521,643,632,670,618,655,692,617
"17","Hørsholm",284,287,313,295,317,326,337,326,358
"17","Rudersdal",650,626,708,750,767,763,782,767,759
"17","Bornholm",492,459,498,500,551,489,463,431,396
"17","Christiansø",3,1,0,2,2,0,0,1,0
"17","Greve",602,543,603,676,709,634,679,584,643
"17","Køge",582,652,672,771,782,745,732,697,713
"17","Lejre",313,312,325,370,349,383,330,346,336
"17","Roskilde",868,937,999,1098,1008,1068,1044,1051,1027
"17","Solrød",232,251,287,294,297,303,299,299,298
"17","Faxe",382,417,420,416,455,410,443,409,422
"17","Guldborgsund",657,654,696,676,722,648,649,543,610
"17","Holbæk",784,858,826,907,800,845,846,799,839
"17","Kalundborg",525,516,568,642,538,576,571,524,570
"17","Lolland",472,464,487,483,522,454,403,394,418
"17","Næstved",862,934,930,1021,992,900,967,899,950
"17","Odsherred",352,322,321,332,349,329,317,292,349
"17","Ringsted",300,344,392,402,408,405,408,352,407
"17","Slagelse",784,866,930,857,957,907,887,841,805
"17","Sorø",337,360,338,409,388,374,367,323,354
"17","Stevns",225,244,210,276,260,233,220,234,214
"17","Vordingborg",471,504,480,522,559,544,508,474,525
"17","Assens",504,488,543,539,521,530,530,487,500
"17","Faaborg-Midtfyn",604,585,672,700,671,641,600,564,601
"17","Kerteminde",247,288,298,301,321,293,310,265,277
"17","Langeland",122,132,133,114,130,138,102,112,113
"17","Middelfart",396,445,432,486,493,462,499,454,484
"17","Nordfyns",321,325,327,355,386,340,331,335,348
"17","Nyborg",377,383,342,377,409,375,432,374,364
"17","Odense",1794,1856,1939,2093,2108,1989,2048,1927,1984
"17","Svendborg",730,773,723,718,742,675,677,604,709
"17","Ærø",75,59,87,101,76,83,81,80,62
"17","Billund",311,324,330,373,358,366,361,320,337
"17","Esbjerg",1352,1432,1404,1401,1440,1372,1327,1305,1301
"17","Fanø",32,33,37,41,33,32,37,24,32
"17","Fredericia",536,589,552,604,604,623,596,585,556
"17","Haderslev",642,747,750,770,798,702,707,701,639
"17","Kolding",955,1011,1040,1052,1063,1102,1092,1062,1041
"17","Sønderborg",852,918,916,963,932,870,950,949,864
"17","Tønder",499,520,544,571,510,506,551,443,486
"17","Varde",608,671,661,707,726,641,703,675,640
"17","Vejen",485,503,572,539,589,584,541,527,547
"17","Vejle",1148,1253,1245,1363,1409,1407,1400,1279,1417
"17","Aabenraa",743,777,765,816,750,714,762,735,724
"17","Favrskov",493,563,569,685,611,617,643,612,629
"17","Hedensted",482,587,532,608,638,603,617,524,602
"17","Horsens",784,856,918,919,928,955,908,905,923
"17","Norddjurs",472,482,466,477,516,501,489,450,423
"17","Odder",266,265,283,292,289,258,271,255,276
"17","Randers",942,992,1029,1053,1170,1136,1140,1120,1076
"17","Samsø",38,46,28,36,27,25,32,41,25
"17","Silkeborg",1026,1066,1097,1164,1228,1129,1156,1153,1118
"17","Skanderborg",657,683,719,797,752,810,791,771,833
"17","Syddjurs",444,515,501,509,553,530,529,522,515
"17","Aarhus",2794,2926,2995,3131,3198,3020,3104,3116,3033
"17","Herning",986,1018,992,1088,1070,1092,1091,1073,1037
"17","Holstebro",695,736,696,756,705,730,715,691,678
"17","Ikast-Brande",466,444,500,543,576,539,549,536,489
"17","Lemvig",291,299,275,347,281,320,294,273,267
"17","Ringkøbing-Skjern",821,741,835,864,795,742,857,784,783
"17","Skive",568,670,627,636,637,618,593,551,607
"17","Struer",268,249,274,272,305,257,270,294,292
"17","Viborg",1073,1180,1150,1183,1266,1244,1231,1121,1180
"17","Brønderslev",392,417,461,415,417,451,431,390,472
"17","Frederikshavn",711,754,720,733,752,739,695,659,665
"17","Hjørring",843,897,860,949,844,813,762,788,804
"17","Jammerbugt",441,497,473,537,494,483,507,430,448
"17","Læsø",14,13,12,22,20,18,17,17,19
"17","Mariagerfjord",505,508,574,567,538,558,567,517,505
"17","Morsø",259,258,271,294,279,277,278,239,269
"17","Rebild",381,370,370,402,381,376,359,368,334
"17","Thisted",600,609,621,592,590,599,547,540,496
"17","Vesthimmerlands",429,526,492,485,485,530,507,448,460
"17","Aalborg",1819,2004,2056,2133,2151,2084,2084,2043,1972
"18","København",2827,2954,3223,3221,3514,3606,3337,3425,3432
"18","Frederiksberg",461,516,522,568,574,678,610,632,618
"18","Dragør",128,163,136,154,157,155,148,149,152
"18","Tårnby",342,341,387,370,426,393,391,338,405
"18","Albertslund",300,312,352,332,330,338,310,284,276
"18","Ballerup",462,483,523,577,528,534,517,499,485
"18","Brøndby",327,327,367,335,400,355,311,304,308
"18","Gentofte",718,733,770,814,892,937,830,811,829
"18","Gladsaxe",626,611,678,716,791,786,642,706,631
"18","Glostrup",193,172,203,192,218,213,192,192,152
"18","Herlev",265,283,252,317,288,296,259,249,283
"18","Hvidovre",442,466,527,517,527,522,472,476,477
