"age-start","age-end","municipality",2008,2009,2010,2011,2012,2013,2014,2015
18,19,"København",61.4,51.8,48.6,45.4,45.4,44.8,44.3,45.0
18,19,"Frederiksberg",59.7,50.8,45.7,46.0,43.8,43.4,43.8,46.2
18,19,"Dragør",69.3,62.8,60.9,53.6,59.2,57.3,61.3,53.4
18,19,"Tårnby",68.1,62.2,58.8,56.5,56.2,54.0,52.7,57.3
18,19,"Albertslund",65.8,55.5,47.8,49.9,45.8,44.0,45.6,49.3
18,19,"Ballerup",66.3,59.9,55.0,54.8,51.9,47.0,48.9,50.8
18,19,"Brøndby",64.1,55.1,49.9,53.0,48.3,46.4,47.6,47.9
18,19,"Gentofte",58.7,52.2,49.9,47.7,47.6,49.1,46.4,48.3
18,19,"Gladsaxe",66.7,57.3,52.3,51.6,49.2,48.9,48.3,49.3
18,19,"Glostrup",72.7,65.4,53.0,54.5,53.7,53.4,47.2,52.3
18,19,"Herlev",69.5,64.0,54.9,54.4,55.9,49.8,49.4,54.9
18,19,"Hvidovre",67.8,58.3,50.9,51.4,50.1,49.7,49.4,48.4
18,19,"Høje-Taastrup",65.6,59.5,53.5,50.1,47.7,47.4,46.8,48.3
18,19,"Ishøj",67.1,54.6,51.6,48.2,47.3,45.8,48.9,46.6
18,19,"Lyngby-Taarbæk",62.2,55.8,52.8,48.9,46.8,47.5,44.3,49.7
18,19,"Rødovre",69.0,61.2,55.2,55.8,52.9,52.2,51.8,53.8
18,19,"Vallensbæk",74.4,63.3,58.5,56.1,55.6,52.9,50.8,51.9
18,19,"Allerød",68.3,60.9,55.3,52.4,55.5,50.6,50.3,56.6
18,19,"Egedal",70.3,62.2,60.8,55.4,55.2,51.4,52.7,55.2
18,19,"Fredensborg",65.5,57.0,59.2,51.6,50.5,51.9,54.1,54.6
18,19,"Frederikssund",71.2,64.6,56.2,56.7,52.8,50.9,52.5,51.6
18,19,"Furesø",66.2,61.1,55.9,51.3,49.3,46.1,49.2,49.9
18,19,"Gribskov",69.7,63.2,58.9,60.4,51.9,51.5,51.6,51.8
18,19,"Halsnæs",69.8,56.2,49.7,49.8,48.2,46.6,49.9,47.7
18,19,"Helsingør",63.7,57.9,57.3,55.7,53.4,51.0,51.2,51.8
18,19,"Hillerød",70.6,63.7,57.6,54.9,56.0,53.4,52.2,53.8
18,19,"Hørsholm",66.0,59.7,59.6,51.9,54.1,50.5,55.6,53.7
18,19,"Rudersdal",60.8,54.3,50.5,51.9,51.1,50.8,51.0,51.6
18,19,"Bornholm",50.5,49.3,47.1,47.3,43.5,41.2,46.6,43.2
18,19,"Christiansø",0.0,0.0,50.0,100.0,50.0,50.0,0.0,50.0
18,19,"Greve",69.4,64.0,60.8,59.1,56.9,54.5,56.4,54.2
18,19,"Køge",67.1,60.4,56.1,52.1,50.5,47.9,49.7,52.0
18,19,"Lejre",64.6,59.3,52.2,51.5,47.2,47.9,48.1,49.9
18,19,"Roskilde",65.6,57.5,52.8,50.2,47.2,48.2,46.9,48.0
18,19,"Solrød",69.8,60.9,58.2,54.2,55.8,50.4,52.9,53.8
18,19,"Faxe",65.2,55.7,54.1,51.5,48.1,48.8,50.3,50.2
18,19,"Guldborgsund",61.1,54.7,49.8,47.8,46.3,45.8,46.1,44.6
18,19,"Holbæk",62.5,55.4,50.4,48.0,46.3,45.7,47.7,46.5
18,19,"Kalundborg",62.8,53.3,49.7,49.3,47.5,44.0,46.3,50.4
18,19,"Lolland",58.9,52.4,47.1,47.8,46.7,42.4,44.7,45.1
