"type","municipality",2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Indvandrere","København",78694,83326,87181,90002,91626,94190,98352,103443,108194,112523
"Indvandrere","Frederiksberg",11769,12181,12608,13329,13836,14373,14475,15055,15668,16218
"Indvandrere","Dragør",758,772,784,807,828,873,926,948,1016,1046
"Indvandrere","Tårnby",2890,2966,3011,3193,3301,3424,3780,4007,4094,4260
"Indvandrere","Albertslund",4467,4610,4573,4621,4679,4741,4712,4648,4704,4843
"Indvandrere","Ballerup",3839,4071,4241,4464,4537,4578,4710,4757,4847,5063
"Indvandrere","Brøndby",5154,5346,5509,5675,5822,6021,6460,6797,7095,7318
"Indvandrere","Gentofte",6648,7177,7614,8030,8498,8639,9255,9846,10569,10745
"Indvandrere","Gladsaxe",5965,6346,6902,7248,7554,7923,8495,9077,9842,10413
"Indvandrere","Glostrup",1741,1899,1954,2059,2163,2262,2436,2620,2861,3017
"Indvandrere","Herlev",2503,2554,2584,2607,2660,2800,3106,3247,3339,3461
"Indvandrere","Hvidovre",4523,4713,4921,5131,5389,5694,6077,6433,6728,6969
"Indvandrere","Høje-Taastrup",5862,6098,6280,6540,6890,7296,7663,8211,8794,9290
"Indvandrere","Ishøj",3793,3962,3964,4080,4235,4399,4661,4935,5144,5328
"Indvandrere","Lyngby-Taarbæk",4578,4661,4937,4968,5181,5371,5677,5896,6297,6490
"Indvandrere","Rødovre",3337,3444,3556,3739,3987,4101,4281,4459,4695,4962
"Indvandrere","Vallensbæk",1248,1434,1605,1678,1724,1768,1867,2031,2277,2498
"Indvandrere","Allerød",1170,1215,1267,1235,1227,1281,1346,1520,1701,1811
"Indvandrere","Egedal",1864,1901,1974,2049,2141,2212,2334,2573,2781,2994
"Indvandrere","Fredensborg",3613,3730,3794,3911,4050,4118,4268,4511,4842,5137
"Indvandrere","Frederikssund",1843,1898,2001,2018,2067,2096,2215,2364,2584,2758
"Indvandrere","Furesø",3058,3311,3345,3319,3267,3367,3451,3838,4274,4475
"Indvandrere","Gribskov",1660,1779,1778,1846,1959,2062,2219,2451,2705,2831
"Indvandrere","Halsnæs",1892,1964,1979,1990,2027,2055,2159,2326,2560,2678
"Indvandrere","Helsingør",4737,4927,4897,4916,5071,5126,5272,5503,5833,6038
